Age Group,Aus,NSW,Vic,Qld,WA,SA,Tas,ACT,NT
14–17,9.7,10.9,9.2,9.9
18–24,20.6,19.9,19.9,22.1
25–29,13.9,17.7,14.2,11.0
30–39,9.1,10.5,9.6,9.3
40–49,5.0,5.7,5.3,4.9
50–59,3.2,3.9,2.2,3.7
60+,1.0,1.5,0.7,0.7
14+,7.0,7.9,7.0,6.9
18+,6.8,7.7,6.9,6.7
